,Office,Name,Date,cabinet,start,end,office_term,start_office,end_office,next_start,is_end
27,Civil Lords of the Admiralty,Lord William Russell,10 February 1806 –  31 March 1807,FALSE,1806-02-11,1807-03-31,10 February 1806 –  31 March 1807,1806-02-10,1807-03-31,10 February 1806,FALSE
28,Civil Lords of the Admiralty,The Lord Kensington,10 February 1806 –  31 March 1807,FALSE,1806-02-11,1807-03-31,10 February 1806 –  31 March 1807,1806-02-10,1807-03-31,23 October 1806,FALSE
29,Civil Lords of the Admiralty,William Frankland,23 October 1806 –  31 March 1807,FALSE,1806-02-11,1807-03-31,23 October 1806 –  31 March 1807,1806-10-23,1807-03-31,NA,FALSE
30,President of the Board of Trade,The Lord Auckland,5 February 1806,FALSE,1806-02-11,1807-03-31,5 February 1806,1806-02-05,1807-03-31,NA,TRUE
31,Vice-President of the Board of Trade[b],Earl Temple,5 February 1806,FALSE,1806-02-11,1807-03-31,5 February 1806,1806-02-05,1807-03-31,NA,TRUE
32,President of the Board of Control,The Lord Minto,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,16 July 1806,TRUE
33,President of the Board of Control,Thomas Grenville,16 July 1806,TRUE,1806-02-11,1807-03-31,16 July 1806,1806-07-16,1807-03-31,1 October 1806,TRUE
34,President of the Board of Control,George Tierney,1 October 1806,TRUE,1806-02-11,1807-03-31,1 October 1806,1806-10-01,1807-03-31,NA,TRUE
35,Secretary to the Board of Control,Thomas Creevey,14 February 1806,FALSE,1806-02-11,1807-03-31,14 February 1806,1806-02-14,1807-03-31,NA,TRUE
36,Chancellor of the Duchy of Lancaster,The Earl of Derby,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
37,Master-General of the Ordnance,The Earl of Moira,February 1806,TRUE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
38,Lieutenant-General of the Ordnance,Sir Thomas Trigge,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
39,Treasurer of the Ordnance,Alexander Davison,20 February 1806,FALSE,1806-02-11,1807-03-31,20 February 1806,1806-02-20,1807-03-31,NA,TRUE
40,Surveyor-General of the Ordnance,James Murray Hadden,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
41,Clerk of the Ordnance,John Calcraft,22 February 1806,FALSE,1806-02-11,1807-03-31,22 February 1806,1806-02-22,1807-03-31,NA,TRUE
42,Clerk of the Deliveries of the Ordnance,James Lloyd,12 March 1806,FALSE,1806-02-11,1807-03-31,12 March 1806,1806-03-12,1807-03-31,NA,TRUE
43,Storekeeper of the Ordnance,John McMahon,22 February 1806,FALSE,1806-02-11,1807-03-31,22 February 1806,1806-02-22,1807-03-31,NA,TRUE
44,Treasurer of the Navy,Richard Brinsley Sheridan,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
45,Secretary at War,Richard FitzPatrick,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
46,Master of the Mint,Lord Charles Spencer,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,October 1806,TRUE
47,Master of the Mint,Charles Bathurst,October 1806,FALSE,1806-02-11,1807-03-31,October 1806,1806-10-01,1807-03-31,NA,TRUE
48,Paymaster of the Forces,Earl Temple,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,February 1806,FALSE
49,Paymaster of the Forces,Lord John Townshend,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,NA,FALSE
50,Postmaster General,The Earl of Carysfort,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,February 1806,FALSE
51,Postmaster General,The Earl of Buckinghamshire,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,NA,FALSE
52,Minister without Portfolio,The Earl Fitzwilliam,October 1806 –  March 1807,TRUE,1806-02-11,1807-03-31,October 1806 –  March 1807,1806-10-01,1807-03-01,NA,FALSE
53,Lord Lieutenant of Ireland,The Duke of Bedford,12 March 1806,FALSE,1806-02-11,1807-03-31,12 March 1806,1806-03-12,1807-03-31,11 April 1807,TRUE
54,Lord Lieutenant of Ireland,The Duke of Richmond,11 April 1807,FALSE,1806-02-11,1807-03-31,11 April 1807,1807-04-11,1807-03-31,NA,TRUE
55,Chief Secretary for Ireland,William Elliot,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
56,Lord Chief Justice of the King's Bench,The Lord Ellenborough,Continued in office,TRUE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
57,Attorney General,Sir Arthur Piggott,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
58,Solicitor General,Sir Samuel Romilly,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
59,Judge Advocate General,Nathaniel Bond,8 March 1806,FALSE,1806-02-11,1807-03-31,8 March 1806,1806-03-08,1807-03-31,NA,TRUE
60,Lord Advocate,Henry Erskine,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
61,Solicitor General for Scotland,John Clerk,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
62,Attorney General for Ireland,William Plunket,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
63,Solicitor General for Ireland,Charles Kendal Bushe,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
64,Lord Steward of the Household,The Earl of Aylesford,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
65,Treasurer of the Household,Lord Ossulston,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
66,Comptroller of the Household,Lord George Thynne,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
67,Lord Chamberlain of the Household,The Earl of Dartmouth,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
68,Vice-Chamberlain of the Household,Lord John Thynne,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
69,Master of the Horse,The Earl of Carnarvon,8 February 1806,FALSE,1806-02-11,1807-03-31,8 February 1806,1806-02-08,1807-03-31,NA,TRUE
70,Master of the Buckhounds,The Earl of Albemarle,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
71,Captain of the Gentlemen Pensioners,The Lord St John of Bletso,12 February 1806,FALSE,1806-02-11,1807-03-31,12 February 1806,1806-02-12,1807-03-31,NA,TRUE
72,Captain of the Yeomen of the Guard,The Earl of Macclesfield,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
73,First Lord of the Treasury,The Duke of Portland,31 March 1807 – 4 October 1809,TRUE,1807-03-31,1809-10-04,31 March 1807 – 4 October 1809,1807-03-31,1809-10-04,NA,FALSE
74,Chancellor of the ExchequerChancellor of the Duchy of Lancaster,Spencer Perceval,26 March 180730 March 1807 –,TRUE,1807-03-31,1809-10-04,26 March 180730 March 1807 –,1807-03-26,1809-10-04,NA,FALSE
75,Secretaries to the Treasury,Hon. Henry Wellesley,1 April 1807 – 21 March 1809,FALSE,1807-03-31,1809-10-04,1 April 1807 – 21 March 1809,1807-04-01,1809-03-21,5 April 1809,FALSE
76,Secretaries to the Treasury,Charles Arbuthnot,5 April 1809,FALSE,1807-03-31,1809-10-04,5 April 1809,1809-04-05,1809-10-04,1 April 1807,TRUE
77,Secretaries to the Treasury,William Huskisson,1 April 1807,FALSE,1807-03-31,1809-10-04,1 April 1807,1807-04-01,1809-10-04,NA,TRUE
78,Junior Lords of the Treasury,"William Cavendish-Scott-Bentinck, Marquess of Titchfield",31 March 1807 – 16 September 1807,FALSE,1807-03-31,1809-10-04,31 March 1807 – 16 September 1807,1807-03-31,1807-09-16,31 March 1807,FALSE
79,Junior Lords of the Treasury,Hon. William Eliot,31 March 1807,FALSE,1807-03-31,1809-10-04,31 March 1807,1807-03-31,1809-10-04,31 March 1807,TRUE
80,Junior Lords of the Treasury,William Sturges Bourne,31 March 1807 – 16 September 1807,FALSE,1807-03-31,1809-10-04,31 March 1807 – 16 September 1807,1807-03-31,1807-09-16,16 September 1807,FALSE
81,Junior Lords of the Treasury,John Foster,16 September 1807,FALSE,1807-03-31,1809-10-04,16 September 1807,1807-09-16,1809-10-04,16 September 1807,TRUE
82,Junior Lords of the Treasury,Hon. Richard Ryder,16 September 1807 – 2 December 1807,FALSE,1807-03-31,1809-10-04,16 September 1807 – 2 December 1807,1807-09-16,1807-12-02,2 December 1807,FALSE
83,Junior Lords of the Treasury,Hon. William Brodrick,2 December 1807,FALSE,1807-03-31,1809-10-04,2 December 1807,1807-12-02,1809-10-04,2 December 1807,TRUE
84,Junior Lords of the Treasury,Snowdon Barne,2 December 1807,FALSE,1807-03-31,1809-10-04,2 December 1807,1807-12-02,1809-10-04,NA,TRUE
85,Lord President of the Council,The Earl Camden,26 March 1807,TRUE,1807-03-31,1809-10-04,26 March 1807,1807-03-26,1809-10-04,NA,TRUE
86,Lord Chancellor,The Lord Eldon,1 April 1807,TRUE,1807-03-31,1809-10-04,1 April 1807,1807-04-01,1809-10-04,NA,TRUE
87,Home Secretary,The Lord Hawkesbury[1],25 March 1807,FALSE,1807-03-31,1809-10-04,25 March 1807,1807-03-25,1809-10-04,NA,TRUE
88,Under-Secretary of State for the Home Department,Charles Watkin Williams-Wynn,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,November 1807,TRUE
89,Under-Secretary of State for the Home Department,Hon. Charles Jenkinson,November 1807,FALSE,1807-03-31,1809-10-04,November 1807,1807-11-01,1809-10-04,NA,TRUE
90,Secretary of State for Foreign Affairs,George Canning,25 March 1807,TRUE,1807-03-31,1809-10-04,25 March 1807,1807-03-25,1809-10-04,NA,TRUE
91,Under-Secretary of State for Foreign Affairs,Viscount FitzHarris,March 1807,FALSE,1807-03-31,1809-10-04,March 1807,1807-03-01,1809-10-04,August 1807,TRUE
92,Under-Secretary of State for Foreign Affairs,Charles Bagot,August 1807,FALSE,1807-03-31,1809-10-04,August 1807,1807-08-01,1809-10-04,NA,TRUE
93,President of the Board of TradeMaster of the Mint,The Earl Bathurst,26 March 180725 April 1807,TRUE,1807-03-31,1809-10-04,26 March 180725 April 1807,1807-03-26,1809-10-04,NA,TRUE
94,Vice-President of the Board of Trade,George Rose,March 1807,FALSE,1807-03-31,1809-10-04,March 1807,1807-03-01,1809-10-04,NA,TRUE
95,Secretary of State for War and the Colonies,Viscount Castlereagh,25 March 1807,TRUE,1807-03-31,1809-10-04,25 March 1807,1807-03-25,1809-10-04,NA,TRUE
96,Under-Secretary of State for War and the Colonies,Edward Cooke,1807,FALSE,1807-03-31,1809-10-04,1807,1807-02-11,1809-10-04,1807,TRUE
97,Under-Secretary of State for War and the Colonies,Hon. Charles Stewart,1807,FALSE,1807-03-31,1809-10-04,1807,1807-02-11,1809-10-04,1809,TRUE
98,Under-Secretary of State for War and the Colonies,Hon. F. J. Robinson[2],1809,FALSE,1807-03-31,1809-10-04,1809,1807-02-11,1809-10-04,NA,TRUE
99,President of the Board of Control,Hon. Robert Saunders-Dundas,6 April 1807,FALSE,1807-03-31,1809-10-04,6 April 1807,1807-04-06,1809-10-04,17 July 1809,TRUE
100,President of the Board of Control,The Earl of Harrowby,17 July 1809,TRUE,1807-03-31,1809-10-04,17 July 1809,1809-07-17,1809-10-04,NA,TRUE
101,Secretary to the Board of Control,George Peter Holford,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
102,First Lord of the Admiralty,The Lord Mulgrave,4 April 1807,TRUE,1807-03-31,1809-10-04,4 April 1807,1807-04-04,1809-10-04,NA,TRUE
103,First Secretary to the Admiralty,Hon. William Wellesley-Pole,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
104,Civil Lords of the Admiralty,Robert Plumer Ward,6 April 1807,FALSE,1807-03-31,1809-10-04,6 April 1807,1807-04-06,1809-10-04,6 April 1807,TRUE
105,Civil Lords of the Admiralty,The Viscount Palmerston,6 April 1807,FALSE,1807-03-31,1809-10-04,6 April 1807,1807-04-06,1809-10-04,6 April 1807,TRUE
106,Civil Lords of the Admiralty,James Buller,6 April 1807,FALSE,1807-03-31,1809-10-04,6 April 1807,1807-04-06,1809-10-04,NA,TRUE
107,Lord Privy Seal,The Earl of Westmorland,25 March 1807,TRUE,1807-03-31,1809-10-04,25 March 1807,1807-03-25,1809-10-04,NA,TRUE
108,Master-General of the Ordnance,The Earl of Chatham,4 April 1807,TRUE,1807-03-31,1809-10-04,4 April 1807,1807-04-04,1809-10-04,NA,TRUE
109,Lieutenant-General of the Ordnance,Sir Thomas Trigge,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
110,Treasurer of the Ordnance,Joseph Hunt,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
111,Surveyor-General of the Ordnance,James Murray Hadden,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
112,Clerk of the Ordnance,Hon. William Wellesley-Pole,7 April 1807,FALSE,1807-03-31,1809-10-04,7 April 1807,1807-04-07,1809-10-04,29 July 1807,TRUE
113,Clerk of the Ordnance,Hon. Cropley Ashley-Cooper,29 July 1807,FALSE,1807-03-31,1809-10-04,29 July 1807,1807-07-29,1809-10-04,NA,TRUE
114,Clerk of the Deliveries of the Ordnance,Hon. Cropley Ashley-Cooper,7 April 1807,FALSE,1807-03-31,1809-10-04,7 April 1807,1807-04-07,1809-10-04,29 July 1807,TRUE
115,Clerk of the Deliveries of the Ordnance,Thomas Thoroton,29 July 1807,FALSE,1807-03-31,1809-10-04,29 July 1807,1807-07-29,1809-10-04,NA,TRUE
116,Storekeeper of the Ordnance,Mark Singleton,7 April 1807,FALSE,1807-03-31,1809-10-04,7 April 1807,1807-04-07,1809-10-04,NA,TRUE
117,Treasurer of the Navy,George Rose,15 April 1807,FALSE,1807-03-31,1809-10-04,15 April 1807,1807-04-15,1809-10-04,NA,TRUE
118,Secretary at War,Sir James Murray Pulteney,30 March 1807,FALSE,1807-03-31,1809-10-04,30 March 1807,1807-03-30,1809-10-04,27 June 1809,TRUE
119,Secretary at War,Lord Granville Leveson-Gower,27 June 1809,TRUE,1807-03-31,1809-10-04,27 June 1809,1809-06-27,1809-10-04,NA,TRUE
120,Paymaster of the Forces,Charles Long,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,April 1807,TRUE
121,Paymaster of the Forces,Lord Charles Henry Somerset,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,NA,TRUE
122,Postmaster General,The Earl of Chichester,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,1807,TRUE
123,Postmaster General,The Earl of Sandwich,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
124,"Surveyor General of Woods, Forests, Parks, and Chases",The Lord Glenbervie,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
125,Ministers without Portfolio,The Duke of Portland,4 October 1809 – 30 October 1809,TRUE,1807-03-31,1809-10-04,4 October 1809 – 30 October 1809,1809-10-04,1809-10-30,November 1809,FALSE
126,Ministers without Portfolio,The Earl of Harrowby,November 1809 – June 1812,TRUE,1807-03-31,1809-10-04,November 1809 – June 1812,1809-11-01,1812-06-01,8 April 1812,FALSE
127,Ministers without Portfolio,The Earl Camden,8 April 1812 – June 1812,TRUE,1807-03-31,1809-10-04,8 April 1812 – June 1812,1812-04-08,1812-06-01,NA,FALSE
128,Lord Lieutenant of Ireland,The Duke of Richmond,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,NA,TRUE
129,Chief Secretary for Ireland,Hon. Sir Arthur Wellesley,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,April 1809,TRUE
130,Chief Secretary for Ireland,Hon. Robert Saunders-Dundas,April 1809,FALSE,1807-03-31,1809-10-04,April 1809,1809-04-01,1809-10-04,NA,TRUE
131,Attorney General,Sir Vicary Gibbs,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,NA,TRUE
132,Solicitor General,Sir Thomas Plumer,April 1807,FALSE,1807-03-31,1809-10-04,April 1807,1807-04-01,1809-10-04,NA,TRUE
133,Judge Advocate General,Nathaniel Bond,8 March 1806,FALSE,1807-03-31,1809-10-04,8 March 1806,1806-03-08,1809-10-04,4 December 1807,TRUE
134,Judge Advocate General,Richard Ryder,4 December 1807,FALSE,1807-03-31,1809-10-04,4 December 1807,1807-12-04,1809-10-04,NA,TRUE
135,Lord Advocate,Archibald Colquhoun,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
136,Solicitor General for Scotland,David Boyle,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
137,Attorney General for Ireland,William Saurin,15 May 1807,FALSE,1807-03-31,1809-10-04,15 May 1807,1807-05-15,1809-10-04,NA,TRUE
138,Solicitor General for Ireland,Charles Kendal Bushe,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
139,Lord Steward of the Household,The Earl of Aylesford,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
140,Treasurer of the Household,Viscount Stopford,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
141,Comptroller of the Household,Lord George Thynne,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
142,Lord Chamberlain of the Household,The Earl of Dartmouth,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
143,Vice-Chamberlain of the Household,Lord John Thynne,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
144,Master of the Horse,The Duke of Montrose,1807,FALSE,1807-03-31,1809-10-04,1807,1807-03-01,1809-10-04,NA,TRUE
145,Master of the Buckhounds,The Marquess Cornwallis,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
146,Captain of the Gentlemen Pensioners,The Lord St John of Bletso,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,2 March 1808,TRUE
147,Captain of the Gentlemen Pensioners,The Earl of Mount Edgcumbe,2 March 1808,FALSE,1807-03-31,1809-10-04,2 March 1808,1808-03-02,1809-10-04,NA,TRUE
148,Captain of the Yeomen of the Guard,The Earl of Macclesfield,continued in office,FALSE,1807-03-31,1809-10-04,1807-03-31,1807-03-31,1809-10-04,NA,TRUE
149,First Lord of the Treasury,Hon. Spencer Perceval,4 October 1809 – 11 May 1812,TRUE,1809-10-04,1812-06-08,4 October 1809 – 11 May 1812,1809-10-04,1812-05-11,NA,FALSE
150,Leader of the House of Commons,Hon. Spencer Perceval,4 October 1809 – 11 May 1812,TRUE,1809-10-04,1812-06-08,4 October 1809 – 11 May 1812,1809-10-04,1812-05-11,NA,FALSE
151,Chancellor of the Exchequer,Hon. Spencer Perceval,4 October 1809 – 11 May 1812,TRUE,1809-10-04,1812-06-08,4 October 1809 – 11 May 1812,1809-10-04,1812-05-11,NA,FALSE
152,Chancellor of the Duchy of Lancaster,Hon. Spencer Perceval,4 October 1809 – 11 May 1812,TRUE,1809-10-04,1812-06-08,4 October 1809 – 11 May 1812,1809-10-04,1812-05-11,NA,FALSE
153,Secretaries to the Treasury,Charles Arbuthnot[note 1],continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,8 December 1809,TRUE
154,Secretaries to the Treasury,Richard Wharton[note 2],8 December 1809,FALSE,1809-10-04,1812-06-08,8 December 1809,1809-12-08,1812-06-08,NA,TRUE
155,Junior Lords of the Treasury,John Foster,6 December 1809 – 6 January 1812,FALSE,1809-10-04,1812-06-08,6 December 1809 – 6 January 1812,1809-12-06,1812-01-06,6 December 1809,FALSE
156,Junior Lords of the Treasury,Hon. William Brodrick,6 December 1809 – 16 June 1812,FALSE,1809-10-04,1812-06-08,6 December 1809 – 16 June 1812,1809-12-06,1812-06-16,6 December 1809,FALSE
157,Junior Lords of the Treasury,Hon. William Eliot,6 December 1809 – 6 January 1812,FALSE,1809-10-04,1812-06-08,6 December 1809 – 6 January 1812,1809-12-06,1812-01-06,6 December 1809,FALSE
158,Junior Lords of the Treasury,The Earl of Desart,6 December 1809 – 23 June 1810,FALSE,1809-10-04,1812-06-08,6 December 1809 – 23 June 1810,1809-12-06,1810-06-23,6 December 1809,FALSE
159,Junior Lords of the Treasury,Snowdon Barne,6 December 1809 – 16 June 1812,FALSE,1809-10-04,1812-06-08,6 December 1809 – 16 June 1812,1809-12-06,1812-06-16,23 June 1810,FALSE
160,Junior Lords of the Treasury,Hon. Berkeley Paget,23 June 1810 – 16 June 1812,FALSE,1809-10-04,1812-06-08,23 June 1810 – 16 June 1812,1810-06-23,1812-06-16,6 January 1812,FALSE
161,Junior Lords of the Treasury,Hon. William Wellesley-Pole,6 January 1812 – 16 June 1812,FALSE,1809-10-04,1812-06-08,6 January 1812 – 16 June 1812,1812-01-06,1812-06-16,6 January 1812,FALSE
162,Junior Lords of the Treasury,Richard Wellesley,6 January 1812 – 16 June 1812,FALSE,1809-10-04,1812-06-08,6 January 1812 – 16 June 1812,1812-01-06,1812-06-16,NA,FALSE
163,Lord Chancellor,The Lord Eldon,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
164,Lord President of the Council,The Earl Camden,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,8 April 1812,TRUE
165,Lord President of the Council,The Viscount Sidmouth,8 April 1812,TRUE,1809-10-04,1812-06-08,8 April 1812,1812-04-08,1812-06-08,NA,TRUE
166,Lord Privy Seal,The Earl of Westmorland,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
167,Home Secretary,Hon. Richard Ryder,1 November 1809,TRUE,1809-10-04,1812-06-08,1 November 1809,1809-11-01,1812-06-08,NA,TRUE
